
**************** NEW TRAIN SESSION ****************
3591 (4880 0%) Loss: 7.90320969
3603 (4896 0%) Loss: 3.22514009
3614 (4912 0%) Loss: 3.05334544
3626 (4928 0%) Loss: 7.93632221
3638 (4944 0%) Loss: 2.70964813
3650 (4960 0%) Loss: 3.02559757
3662 (4976 0%) Loss: 3.21876550
3673 (4992 0%) Loss: 12.29556465
3685 (5008 0%) Loss: 5.36899805
3697 (5024 0%) Loss: 3.39439964
3709 (5040 0%) Loss: 9.06447315
3720 (5056 0%) Loss: 7.98814631
3732 (5072 0%) Loss: 2.80498815
3744 (5088 0%) Loss: 5.89952040
3756 (5104 0%) Loss: 3.25538182
3767 (5120 0%) Loss: 3.53536868
3779 (5136 0%) Loss: 12.76004314
3791 (5152 0%) Loss: 13.31707191
3803 (5168 0%) Loss: 18.83253479
3815 (5184 0%) Loss: 2.91731453
3826 (5200 0%) Loss: 3.18592167
3838 (5216 0%) Loss: 6.09071302
3850 (5232 0%) Loss: 3.41766000
3862 (5248 0%) Loss: 11.95898342
3874 (5264 0%) Loss: 2.84025645
3885 (5280 0%) Loss: 3.25206256
3897 (5296 0%) Loss: 10.81049919
3909 (5312 0%) Loss: 7.28788185
3921 (5328 0%) Loss: 2.94323993
3932 (5344 0%) Loss: 3.35325432
3944 (5360 0%) Loss: 2.87291026
3956 (5376 0%) Loss: 10.86425304
3968 (5392 0%) Loss: 8.19356251
3979 (5408 0%) Loss: 3.67379904
3991 (5424 0%) Loss: 3.16716623
4003 (5440 0%) Loss: 2.80274582
4015 (5456 0%) Loss: 3.78549099
4026 (5472 0%) Loss: 3.04137039
4038 (5488 0%) Loss: 2.91864061
4050 (5504 0%) Loss: 6.32792282
4062 (5520 0%) Loss: 3.04745793
4073 (5536 0%) Loss: 3.28748918
4085 (5552 0%) Loss: 3.14674330
4097 (5568 0%) Loss: 14.74542999
4109 (5584 0%) Loss: 2.85966945
4121 (5600 0%) Loss: 4.91762114
4132 (5616 0%) Loss: 3.01130962
4144 (5632 0%) Loss: 3.16380072
4156 (5648 0%) Loss: 3.20809889
4168 (5664 0%) Loss: 3.27550006
4180 (5680 0%) Loss: 6.37112665
4191 (5696 0%) Loss: 5.23682356
4203 (5712 0%) Loss: 2.76501489
4215 (5728 0%) Loss: 12.26499844
4227 (5744 0%) Loss: 3.07570362
4238 (5760 0%) Loss: 7.25473166
4250 (5776 0%) Loss: 2.87116838
4262 (5792 0%) Loss: 3.15302682
4274 (5808 0%) Loss: 3.36001587
4285 (5824 0%) Loss: 2.80577374
4297 (5840 0%) Loss: 3.44927669
4309 (5856 0%) Loss: 2.86034536
4321 (5872 0%) Loss: 3.24310327
4332 (5888 0%) Loss: 8.20097446
4344 (5904 0%) Loss: 8.67816544
4356 (5920 0%) Loss: 14.68959045
4368 (5936 0%) Loss: 3.91542053
4379 (5952 0%) Loss: 3.04075360
4391 (5968 0%) Loss: 4.79372311
4403 (5984 0%) Loss: 10.31581688
4415 (6000 0%) Loss: 9.75121689
4427 (6016 0%) Loss: 3.38955808
4438 (6032 0%) Loss: 3.53946400
4450 (6048 0%) Loss: 7.70796490
4462 (6064 0%) Loss: 4.34804583
4474 (6080 0%) Loss: 6.64313030
4486 (6096 0%) Loss: 2.76858640
4497 (6112 0%) Loss: 3.45194840
4509 (6128 0%) Loss: 2.94491506
4521 (6144 0%) Loss: 11.47778988
4533 (6160 0%) Loss: 3.19148159
4544 (6176 0%) Loss: 3.14061522
4556 (6192 0%) Loss: 3.42633152
4568 (6208 0%) Loss: 2.74654961
4580 (6224 0%) Loss: 4.25795603
4591 (6240 0%) Loss: 5.07995415
4603 (6256 0%) Loss: 3.04734182
4615 (6272 0%) Loss: 10.75209808
4627 (6288 0%) Loss: 2.90381336
4638 (6304 0%) Loss: 3.34324336
4650 (6320 0%) Loss: 3.69561005
4662 (6336 0%) Loss: 5.12749815
4674 (6352 0%) Loss: 4.70030975
4685 (6368 0%) Loss: 2.54248786
4697 (6384 0%) Loss: 2.98835325
4709 (6400 0%) Loss: 4.45064974
4721 (6416 0%) Loss: 8.46446228
4732 (6432 0%) Loss: 3.93571997
4744 (6448 0%) Loss: 12.75177288
4756 (6464 0%) Loss: 13.80112648
4768 (6480 0%) Loss: 2.95317173
4779 (6496 0%) Loss: 3.50334382
4791 (6512 0%) Loss: 3.17266750
4803 (6528 0%) Loss: 5.02321768
4815 (6544 0%) Loss: 3.05775142
4827 (6560 0%) Loss: 3.44850564
4838 (6576 0%) Loss: 7.34176207
4850 (6592 0%) Loss: 11.99285984
4862 (6608 0%) Loss: 2.86049104
4874 (6624 0%) Loss: 11.60371590
4886 (6640 0%) Loss: 3.82487130
4897 (6656 0%) Loss: 4.80349541
4909 (6672 0%) Loss: 19.96545410
4921 (6688 0%) Loss: 16.12470627
4933 (6704 0%) Loss: 3.17709565
4944 (6720 0%) Loss: 2.87864757
4956 (6736 0%) Loss: 3.44330931
4968 (6752 0%) Loss: 2.98988628
4980 (6768 0%) Loss: 2.86739826
4991 (6784 0%) Loss: 3.34211850
5003 (6800 0%) Loss: 7.56342649
5015 (6816 0%) Loss: 3.39187717
5027 (6832 0%) Loss: 3.28756070
5038 (6848 0%) Loss: 3.18449879
5050 (6864 0%) Loss: 7.03561783
5062 (6880 0%) Loss: 3.43083215
5074 (6896 0%) Loss: 5.78050184
5086 (6912 0%) Loss: 11.75192642
5097 (6928 0%) Loss: 5.90187120
5109 (6944 0%) Loss: 4.27548647
5121 (6960 0%) Loss: 13.05417061
5133 (6976 0%) Loss: 11.19449711
5144 (6992 0%) Loss: 2.89841866
5156 (7008 0%) Loss: 6.10926914
5168 (7024 0%) Loss: 4.67551517
5180 (7040 0%) Loss: 3.38710642
5191 (7056 0%) Loss: 2.70891094
5203 (7072 0%) Loss: 2.80947399
5215 (7088 0%) Loss: 7.09171343
5227 (7104 0%) Loss: 3.49991107
5238 (7120 0%) Loss: 3.30356121
5250 (7136 0%) Loss: 10.23913383
5262 (7152 0%) Loss: 3.23457265
5274 (7168 0%) Loss: 3.03018427
5285 (7184 0%) Loss: 2.73011374
5297 (7200 0%) Loss: 3.14918470
5309 (7216 0%) Loss: 2.98614812
5320 (7232 0%) Loss: 8.49985218
5332 (7248 0%) Loss: 2.85307908
5344 (7264 0%) Loss: 3.15404439
5356 (7280 0%) Loss: 3.00302839
5368 (7296 0%) Loss: 3.08379054
5380 (7312 0%) Loss: 3.58952737
5391 (7328 0%) Loss: 3.63987231
5403 (7344 0%) Loss: 3.33090425
5415 (7360 0%) Loss: 3.08533669
5427 (7376 0%) Loss: 3.15065742
5438 (7392 0%) Loss: 3.24854636
5450 (7408 0%) Loss: 3.09862924
5462 (7424 0%) Loss: 2.90100980
5474 (7440 0%) Loss: 3.05055928
5486 (7456 0%) Loss: 2.65445304
5497 (7472 0%) Loss: 2.96018457
5509 (7488 0%) Loss: 3.05171871
5521 (7504 0%) Loss: 3.16157484
5533 (7520 0%) Loss: 7.58521175
5545 (7536 0%) Loss: 6.16196775
5556 (7552 0%) Loss: 3.47439265
5568 (7568 0%) Loss: 7.99231577
5580 (7584 0%) Loss: 3.33488226
5592 (7600 0%) Loss: 4.23270321
5603 (7616 0%) Loss: 3.15290260
5615 (7632 0%) Loss: 5.10309553
5627 (7648 0%) Loss: 2.98849893
5639 (7664 0%) Loss: 7.84801531
5650 (7680 0%) Loss: 7.56183863
5662 (7696 0%) Loss: 3.01561928
5674 (7712 0%) Loss: 3.05067897
5686 (7728 0%) Loss: 3.13118458
5698 (7744 0%) Loss: 2.86759233
5709 (7760 0%) Loss: 4.78932762
5721 (7776 0%) Loss: 3.06999373
5733 (7792 0%) Loss: 5.89529896
5745 (7808 0%) Loss: 6.31998253
5757 (7824 0%) Loss: 6.92464972
5768 (7840 0%) Loss: 3.05916715
5780 (7856 0%) Loss: 3.77557802
5792 (7872 0%) Loss: 5.22405291
5804 (7888 0%) Loss: 3.33920932
5815 (7904 0%) Loss: 3.72168398
5827 (7920 0%) Loss: 3.19396544
5839 (7936 0%) Loss: 2.92765069
5851 (7952 0%) Loss: 3.37924194
5862 (7968 0%) Loss: 3.97862339
5874 (7984 0%) Loss: 9.30519009
5886 (8000 0%) Loss: 2.95623040
5898 (8016 0%) Loss: 3.70095396
5909 (8032 0%) Loss: 6.77485228
5921 (8048 0%) Loss: 3.88941216
5933 (8064 0%) Loss: 3.81332302
5945 (8080 0%) Loss: 4.26189137
5956 (8096 0%) Loss: 3.23060226
5968 (8112 0%) Loss: 3.03805590
5980 (8128 0%) Loss: 8.13025856
5992 (8144 0%) Loss: 3.12995362
6004 (8160 0%) Loss: 2.79144740
6015 (8176 0%) Loss: 5.97940397
6027 (8192 0%) Loss: 3.33441854
6039 (8208 0%) Loss: 2.90911055
6051 (8224 0%) Loss: 2.86000109
6062 (8240 0%) Loss: 11.21898556
6074 (8256 0%) Loss: 9.11895847
6086 (8272 0%) Loss: 7.77362013
6098 (8288 0%) Loss: 3.11479831
6109 (8304 0%) Loss: 5.84353638
6121 (8320 0%) Loss: 4.14396286
6133 (8336 0%) Loss: 6.56269503
6145 (8352 0%) Loss: 3.28899622
6157 (8368 0%) Loss: 3.03402829
6168 (8384 0%) Loss: 2.73046947
6180 (8400 0%) Loss: 3.17195225
6192 (8416 0%) Loss: 12.84748745
6204 (8432 0%) Loss: 5.89225292
6215 (8448 0%) Loss: 3.03449678
6227 (8464 0%) Loss: 3.05852985
6239 (8480 0%) Loss: 12.36285591
6251 (8496 0%) Loss: 2.89829993
6262 (8512 0%) Loss: 4.33484602
6274 (8528 0%) Loss: 2.94259882
6286 (8544 0%) Loss: 3.43590736
6298 (8560 0%) Loss: 3.28775501
6310 (8576 0%) Loss: 2.97142386
6321 (8592 0%) Loss: 6.06689882
6333 (8608 0%) Loss: 2.81009483
6345 (8624 0%) Loss: 7.30094767
6357 (8640 0%) Loss: 6.81779909
6369 (8656 0%) Loss: 2.95992923
6380 (8672 0%) Loss: 3.82777023
6392 (8688 0%) Loss: 3.17636132
6403 (8704 0%) Loss: 5.71645784
6415 (8720 0%) Loss: 3.06287575
